CODIGO,SIGLA,DEPENDENCIA,RESPONSABLE,CORREO ELECTRONICO,EXT,DIRECCIÓN
000,DA,DESPACHO DEL ALCALDE,LEONARDO DONOSO RUIZ,alcalde@chia.gov.co,1603,Carrera 11 Número 11-29
001,OAJ,Oficina Asesora Jurídica,LUZ AURORA ESPINOZA TOBAR,oficinajuridica@chia.gov.co,1801,Carrera 11 Número 11-29
002,OC,Oficina de Contratación,MONICA ALEXANDRA NARANJO,contratacion@chia.gov.co,1700,Carrera 11 Número 11-29
003,ODJ,Oficina Defensa Judicial,JORGE ENRIQUE RAMÍREZ HERNANDEZ,notificacionesjudiciales@chia.gov.co,1803,Carrera 7 Número 12-100
004,OCI,Oficina de Control Interno,CARLOS ANDRES RODRIGUEZ SANCHEZ ,controlinterno@chia.gov.co,1200,Carrera 11 Número 11-29
005,OTIC,Oficina de tecnologías de la información y las comunicaciones TIC,GUSTAVO CARVAJAL MILLÁN ,oficinatic@chia.gov.co,2300 - 2301,Carrera 7 Número 12-100
006,OACPP,Oficina Asesora de comunicación Prensa y Protocolo,CATALINA URIBE BARRETO,prensa@chia.gov.co,1500,Carrera 7 Número 12-100
010,SP,SECRETARIA DE PLANEACION,YAKLIN DARIDZA CHAPARRO SALINAS,secretaria.planeacion@chia.gov.co,2100,Carrera 11 Número 11-69
011,OSIE,"Dirección Sistemas de la Información
y Estadísticas",LEIDY MILED VEGA MOJICA,dir.sistemasinformacion@chia.gov.co,2105,Carrera 11 Número 11-69
012,DPD,Dirección de Planificación del Desarrollo,MARÍA JOSÉ ZAPATA (Encargada),diplan@chia.gov.co,2106,Carrera 11 Número 11-69
013,DOTP,Dirección de Ordenamiento Territorial y Plusvalía,HECTOR ORLANDO RUIZ PALACIOS,ordenamientoterritorial@chia.gov.co,2113-2116,Carrera 10 Número 8-72 - CC Curubito
014,DU,Dirección de Urbanismo,FREDDY ANDRES RODRIGUEZ CORTES,urbanismo@chia.gov.co,2121,"Carrera 12 No 9-51, oficina 20, edificio DISECONS "
015,DSP,Dirección de Servicios Públicos,BENEDICTO CORDERO GÓMEZ (E),servicios.publicos@chia.gov.co,2120,Carrera 11 Número 11-69
020,SG,SECRETARIA GENERAL,FAUSTO ALEJANDRO AMAYA CASTRO,sec.general@chia.gov.co,4000,Carrera 11 Número 11-29
021,DFP,Dirección de Función Publica,MARIA ALEJANDRA NAVARRETE ARTUNDUAGA,funcionpublica@chia.gov.co,1900-1901,Carrera 11 Número 11-29
022,DSA,Dirección de Servicios Administrativos,OSCAR FERNANDO AFANADOR BOHORQUEZ,serviciosadministrativos@chia.gov.co,2800,Carrera 11 Número 11-69
,,Almacen,,,2200 -2201,
023,DCAC,"Dirección Centro de Atención al
Ciudadano",JAIME HUGO DIAZ AVILA,direccion.cac@chia.gov.co,4200,Carrera 11 Número 11-69
024,DCID,"Dirección de Control Interno
Disciplinario",CAMILO ANDRES RODRIGUEZ ABRIL,control.disciplinario@chia.gov.co,3900,Carrera 11 Número 11 - 69
030,SG,SECRETARIA DE GOBIERNO,HANSEL ENRIQUE GAONA PEREZ,sec.gobierno@chia.gov.co,1101-1102,Calle 10 No 10-07
031,DSCC,Dirección de seguridad y Convivencia Ciudadana,SANDRA VALLEJO DELGADO  (CORONEL RETIRADO),dirseg@chia.gov.co,3301,Calle 10 No 10-07
032,DAERRP,Dirección de Asuntos Étnicos Raciales Religiosos y Posconflicto,ALEJANDRA REALES ,direccion.etnicos@chia.gov.co,1100,Calle 10 No 10-07
033,DDRC,"Dirección de Derechos y Resolución
de Conflictos",ARSENIO NOGUERA ,direccioncasadejusticia@chia.gov.co,3313,Calle 10 #11-36 C.C LA LIBERTAD
330,CPF,Comisaria Primera de Familia,ANA DOLORES MELO RODRÍGUEZ (E),comisariaprimera@chia.gov.co,3305,Calle 10 #11-36 C.C LA LIBERTAD
331,CSF,Comisaria Segunda de Familia,DEYI PAULINA ALBA NARANJO,comisariasegunda@chia.gov.co,3330,Calle 29 Número 1 Este-02
332,CTF,Comisaria Tercera de Familia,GRACIA GIL CLARA JOHANNA,comisariatercera@chia.gov.co,3316,Calle 10 #11-36 C.C LA LIBERTAD
333,CCF,Comisaria Cuarta de Familia,ESCOBAR PARAMO BEATRIZ EUGENIA,comisariacuarta@chia.gov.co,3312,Calle 10 #11-36 C.C LA LIBERTAD
334,IPP,Inspección Primera de Policía,MOLINA SEGURA BLANCA LILIA,inspeccionprimera@chia.gov.co,3306,Calle 11 Número 11-16 C.C. La Libertad piso 2
335,PSP,Inspección Segunda de Policía,,inspeccionsegunda@chia.gov.co,3303,Calle 11 Número 11-16 C.C. La Libertad piso 2
336,ITP,Inspección Tercera de Policía,HEIDY YANINE  CHACÓN  HERRERA,inspecciontercera@chia.gov.co,3300,Calle 11 Número 11-16 C.C. La Libertad piso 2
337,ICP,Inspección Cuarta de Policía,ORLANDO BLANCO ZUÑIGA,inspeccioncuarta@chia.gov.co,3308,Calle 11 Número 11-16 C.C. La Libertad piso 2
338,IQP,Inspección Quinta de Policía,DARIO RODRÍGUEZ DEVIA ,inspeccionquinta@chia.gov.co,3309,Vereda Bojaca - Mercedes de Calahorra
339,ISP,Inspección Sexta de Policía,KATHERINE GISSETH RODRÍGUEZ ,inspeccionsexta@chia.gov.co,2101,Calle 11 Número 11-16 C.C. La Libertad piso 2
040,SH,SECRETARIA DE HACIENDA,OSCAR HARVEY ROJAS CARRILLO,secretariadehacienda@chia.gov.co,3184389652  - 2010 ,Carrera 11 Número 11-29
041,DR,Dirección de Rentas,CARLOS EDUARDO GUITARRERO BUSTOS, direccion.rentas@chia.gov.co ,2005 - 2009,Carrera 11 Número 11-29
042,DF,Dirección Financiera,PABLO FELIPE RODRIGUEZ ZAPATA,direccion.financiera@chia.gov.co,2006,Carrera 11 Número 11-29
043,DT,Dirección de Tesorería, VIVIANA CAROLINA QUECAN CASTRO,direccion.tesoreria@chia.gov.co,2006,Carrera 11 Número 11-29
050,SOP,SECRETARIA DE OBRAS PUBLICAS,NESTOR ALEJANDRO HOYOS BAZURTO,sec.obraspublicas@chia.gov.co,3400 - 3402,Transversal 17 Número 6-108 Piso 2
051,DI,Dirección de Infraestructura,MILTON SUAREZ AREVALO,direccion.infraestructura@chia.gov.co,3405,Transversal 17 Número 6-108 Piso 2
052,DPED,"Dirección de Programación, Estudios y Diseños",MILTON FERNANDO GARZON SANCHEZ,programacion.obraspublicas@chia.gov.co,3402,Transversal 17 Número 6-108 Piso 2
053,DV,Dirección de Valorización,LEONARDO ANDRES NEIRA HERNANDEZ,dirvaloriz@chia.gov.co,4100,Transversal 17 Número 6-108 Piso 2
060,SDS,SECRETARIA DE DESARROLLO SOCIAL,CLAUDIA PATRICIA BERNAL BARRERA (ENCARGO),sec.desarrollosocial@chia.gov.co,3101-3102,Carrera 7 Número 15-51
061,DCJ,Dirección de Ciudadanía Juvenil,LAURA MANUELA MANCERA RODRÍGUEZ,ciudadania.juvenil@chia.gov.co,6200,Carrera 11 Número 17-50
062,DAS,Dirección de Acción Social,CLAUDIA PATRICIA BERNAL BARRERA,accionsocial@chia.gov.co,2400-2403,Carrera 7 Número 15-51
063,DC,Dirección de Cultura,VIVIANA ANDREA PARRA ,casadelacultura@chia.gov.co,3600,Carrera 11 Número 17-50
070,SE,SECRETARIA DE EDUCACION,NELSY YAZMIN CAJAMARCA SUAREZ,sem.secretaria@chia.gov.co,2900,Carrera 10 Número 8-72 - CC Curubito
071,DIV,Dirección de Inspección y Vigilancia,HARVEY EDUARDO TORRES POVEDA,sem.inspevigilancia@chia.gov.co,2903,Carrera 10 Número 8-72 - CC Curubito
072,DGFE,Dirección de Gestión y Fomento a la Educación,NELSY YAZMIN CAJAMARCA SUAREZ,sem.direcciondegestionyfomento@chia.gov.co,2918,Carrera 10 Número 8-72 - CC Curubito
073,DAF,Dirección Administrativa y Financiera, FLOR  DE MARIA CELY  LOPEZ,sem.direccionadministrativayfinanciera@chia.gov.co,2913-2922,Carrera 10 Número 8-72 - CC Curubito
080,SS,SECRETARIA DE SALUD,LUZ STELLA DIAZ JALLER,sec.salud@chia.gov.co,3000-3002-3006,Carrera 10 Número 8-72 - CC Curubito
081,DSP,Dirección de Salud Publica,WILLIS REYES VALDES,correospublica@chia.gov.co,3005,Carrera 10 Número 8-72 - CC Curubito
082,DVC,Dirección de Vigilancia y Control,LAURA XIMENA MARTINEZ ARTURO,dir.vigilanciacontrolsalud@chia.gov.co,3800,Carrera 10 Número 8-72 - CC Curubito
090,SDE,SECRETARIA PARA EL DESARROLLO ECONOMICO,MARTHA YANETH SÁNCHEZ HERRERA,sec.economico@chia.gov.co,3172977503 - 1300,Carrera 10 Número 8-72 - CC Curubito
091,DDAE,Dirección de Desarrollo Agropecuario y Empresarial,CRISTIAN RAUL CASTAÑEDA VEGA ,dir.agropecuario@chia.gov.co,1305,Carrera 10 Número 8-72 - CC Curubito
,,Agencia pública de gestión y colocación de empleo ,MARTHA TERESA MORENO,empleo@chia.gov.co,1304,Carrera 10 Número 8-72 - CC Curubito
092,DT,Dirección de Turismo,MARIO ERNESTO DELGADO ARANA,turismo@chia.gov.co,1400-1401,Carrera 10 Número 8-72 - CC Curubito
100,SMA,SECRETARIA DE MEDIO AMBIENTE,EILEN LIZETH VARELA BELLO,secretaria.ambiente@chia.gov.co,3700 – 3702,Carrera 7 Número 12-100
110,SM,SECRETARIA DE MOVILIDAD,JUAN PABLO RAMIREZ OTALVARO,sec.movilidad@chia.gov.co,304 5444654 – 3504,Transversal 17 Número 6-108 Piso 1
111,DSMGT,Dirección de Servicios de Movilidad y Gestión del Transporte,ANGELICA  MARIA ROBAYO ACERO,dirservicios.movilidad@chia.gov.co,3505,Transversal 17 Número 6-108 Piso 1
112,DESVCT,"Dirección de Educación, Seguridad
Vial y Control de Transito",GILBERTO CIFUENTES  TORRES ,dir.educacionyseguridadvial@chia.gov.co,3503,Transversal 17 Número 6-108 Piso 1
113,UTCCH,Unión Temporal Circulemos Chía,MARÍA MILVIA SANTOS PUERTA,correspondencia.chia@datatools.com.co,3014028704,Transversal 17 Número 6-108 Piso 1
120,SPCAC,SECRETARIA DE PARTICIPACION CIUDADANA Y ACCION COMUNITARIA,MARIA SOLEDAD MUÑOZ SANCHEZ,participacion@chia.gov.co,4300,Carrera 7 Número 12-100
201,,"Instituto de Desarrollo Urbano, Vivienda y Gestión Territorial de Chía IDUVI",JAIME EDUARDO MUÑOZ VERA ,contactenos@iduvichia.gov.co,"8844398 / 8707594 
3173791170 y Wsp 31878872 98 ",Carrera 8 #14-20
202,,Instituto Municipal de Recreación y Deportes de Chía IMRD,HECTOR ALEXANDER GÓMEZ,contactenos@imrdchia.gov.co ,8844625,Diagonal 17
203,,Empresa de Servicios Públicos de Chía- EMSERCHIA ,ING IVAN MONTAÑO - GERENTE ,correspondencia@emserchia.gov.co,4926464 – Ext. 100/101/102/103,Calle 11 #17-00
204,,Personeria Municipal de Chia,DANIEL ALEXANDER MOYANO PEÑA,contactenos@personeriachia.gov.co,6018630230 ó 8844444 ext 8005,Carrera 11 #17-50
205,,Policia Nacional,,coeno.echia@policia.gov.co,,123
206,,Estación de Policía Chía,LUIS EDUARDO MEDINA ,,,123
207,,Registraduria Nacional ,,chiacundinamarca@registraduria.gov.co,3009124000,CALLE 11 # 9 - 70 PARQUE PRINCIPAL HORARIO DE 8:00 AM A 4:00 PM DE LUNES A VIERNES
208,,Defensoria del pueblo nacional ,,,01 8000 914814,
209,,Migracion Colombia (En Chia),,,,auditorio zea mays primer piso (solo los jueves de 7 30 am a 4 30 pm)
210,,Migracion Colombia (En Bogotá),,servicio.ciudadano@migracioncolombia.gov.co,605 54 54,
211,,Inspeccion del trabajo- MINTRABAJO,,solucionesdocumental@mintrabajo.gov.co,"3779999 OPC 2
018000112518",
212,,Instituto Agustin Codazzi ,,contactenos@igac.gov.co ,8844444 ext 1101/1102,
213,,Gestion del riesgo Chia  (Secretaria de Gobierno),DUMAR JAVIER FIGUEREDO SANABRIA - ASESOR DE DESPACHO PARA GESTIÓN DEL RIESGO ,gestiondelriesgo@chia.gov.co,,
214,,Bomberos Chia,,bomberoschia@hotmail.com; info@bomberoschia.org; administrativa@bomberoschia.org; ambulancias@bomberoschia.org; financiera@bomberoschia.org; jairo.garzon@bomberoschia.org,"8844595/8844597
3001234567",8844595 / 8844587                  3106802631
215,,Defensa Civil Colombiana de Chia ,,secun.jdcchia@gmail.com,3143837651,
216,,Cruz Roja Colombiana ,Hector Eduardo Alvarado J.,atencionbns@cruzrojacolombiana.org ,6014376300 - 310565419,
217,,Hospital San Antonio de Chía,,siau.hchia@gmail.com; hchia@esehospitalchia.gov.co; gerencia.hchia@gmail.com;,,
218,,Clinica Chía,,contactenos@clinicachia.com; calidad@clinicachia.com; subgerenciaasistencial@clinicachia.com,,
219,,Cementerio Jardines de Paz de Chía,,psantalucia@diocesisdezipaquira.org,,
220,,Convenios consultorio juridico universidades personeria,,,,
221,,Universidad militar nueva granada,,,,Acercarse a la personeria KR 11 N° 17-50
222,,Universidad de la Sabana ,,,,Acercarse a la personeria KR 11 N° 17-50
223,,Universidad UniCervantes,,,,Acercarse a la personeria KR 11 N° 17-50
224,,Fiscalia Chia,,,,Cl 12 N° 1c-52 Barrio 20 de Julio Frente a la Iglesia Cristo Rey
225,,Policia de infancia y adolescencia ,,,"3223486066
3116635748",
226,,Concejo de Chía,,contactenos@concejomunicipalchia.gov.co,(601)8855177,"Carrera 3 No. 12-88, Antiguo Club el Mohan - Chía,"
227,,Casa del consumidor - Red Nacional de protección del consumidor ,,ccchia@sic.gov.co,,Calle 10 N° 10-07 frente al parqueadero de la Iglesia 
228,,Policia,,,,
